index,tvBench_id,db_id,question,source,gold,pred
570,685@x_name@DESC,company_office,", rank from high to low by the bars .","<N> , rank from high to low by the bars . </N> <C> mark [T] data companies encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> companies <COL> </COL> <VAL> </VAL> </D>",mark bar data companies encoding x industry y aggregate count industry transform group x sort x desc,mark bar data companies encoding x product_name y aggregate count product_name transform group x sort x asc
586,2317@y_name@ASC,match_season,"what are the draft pick numbers and draft classes for players who play the Defender position ? , could you sort by the y-axis in asc ?","<N> what are the draft pick numbers and draft classes for players who play the Defender position ? , could you sort by the y-axis in asc ? </N> <C> mark [T] data match_season encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> match_season <COL> position player </COL> <VAL> Defender </VAL> </D>","mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort y asc",mark bar data match_season encoding x position y aggregate count position transform filter points < 30 group x sort y asc
602,2916@x_name@ASC,swimming,"Draw a bar chart about the distribution of meter_300 and ID , and order by the names in ascending .","<N> Draw a bar chart about the distribution of meter_300 and ID , and order by the names in ascending . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> id meter_300 name meter_100 meter_200 meter_400 meter_500 meter_600 meter_700 time </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none id transform sort x asc,mark bar data swimmer encoding x name y aggregate none id transform sort x asc
604,2949@y_name@ASC,theme_gallery,"Find those themes and years for all exhibitions with ticket prices lower than 15 , group by themes , count year , and the x-axis is Year , show from low to high by the y-axis .","<N> Find those themes and years for all exhibitions with ticket prices lower than 15 , group by themes , count year , and the x-axis is Year , show from low to high by the y-axis . </N> <C> mark [T] data exhibition encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> exhibition <COL> year theme ticket_price </COL> <VAL> </VAL> </D>",mark bar data exhibition encoding x year y aggregate count year transform filter ticket_price < 15 group theme sort y asc,mark bar data exhibition encoding x year y aggregate count year transform filter ticket_price < 15 group x sort x asc
608,620@y_name@DESC,college_2,"How many rooms in each building have a capacity of over 50 Visualize by bar chart , order by the the total number in desc .","<N> How many rooms in each building have a capacity of over 50 Visualize by bar chart , order by the the total number in desc . </N> <C> mark [T] data classroom encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> classroom <COL> building capacity room_number </COL> <VAL> 40 Power Main 700 547 180 </VAL> </D>",mark bar data classroom encoding x building y aggregate count building transform filter capacity > 50 group x sort y desc,mark bar data classroom encoding x building y aggregate count building transform filter capacity > 1850 group x sort y desc
610,2917@x_name@DESC,swimming,"Visualize a bar chart about the distribution of meter_300 and meter_100 , and list X in descending order .","<N> Visualize a bar chart about the distribution of meter_300 and meter_100 , and list X in descending order . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> meter_100 meter_300 meter_700 id meter_600 meter_200 meter_400 meter_500 time </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none meter_100 transform sort x desc,mark bar data swimmer encoding x name y aggregate none meter_100 transform sort x desc
626,2998@y_name@DESC,tracking_share_transactions,"What are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and show total number in desc order .","<N> What are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and show total number in desc order . </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> share_count </COL> <VAL> 930 8040 </VAL> </D>",mark bar data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort y desc bin x by weekday,mark bar data transactions encoding x date_of_transaction y aggregate count share_count transform filter share_count > 100 or amount_of_transaction > 1000 sort y desc bin x by weekday
630,2998@y_name@DESC,tracking_share_transactions,"What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a bar chart , and order in desc by the the number of date of transaction .","<N> What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a bar chart , and order in desc by the the number of date of transaction . </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> share_count date_of_transaction </COL> <VAL> 930 8040 </VAL> </D>",mark bar data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort y desc bin x by weekday,mark bar data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count > 100 or amount_of_transaction > 1000 sort y desc bin x by weekday
646,280@x_name@DESC,behavior_monitoring,"A bar chart about the number of end dates for incidents with incident type code ""NOISE"" ? , order by the X-axis in desc .","<N> A bar chart about the number of end dates for incidents with incident type code ""NOISE"" ? , order by the X-axis in desc . </N> <C> mark [T] data behavior_incident encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> behavior_incident <COL> incident_type_code recommendations </COL> <VAL> None </VAL> </D>","mark bar data behavior_incident encoding x date_incident_end y aggregate count date_incident_end transform filter incident_type_code = ""noise"" group x sort x desc","mark bar data behavior_incident encoding x date_incident_start y aggregate count date_incident_start transform filter incident_type_code = ""noise"" sort x desc bin x by year"
672,3133,university_basketball,Show me about the proportion of All_Games_Percent and All_Games_Percent in a pie chart .,<N> Show me about the proportion of All_Games_Percent and All_Games_Percent in a pie chart . </N> <C> mark [T] data basketball_match encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> basketball_match <COL> all_games_percent </COL> <VAL> </VAL> </D>,mark arc data basketball_match encoding x team_name y aggregate none all_games_percent,mark arc data basketball_match encoding x all_road y aggregate none all_games_percent
686,2999@x_name@ASC,tracking_share_transactions,"What are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and could you display by the date_of_transaction in ascending ?","<N> What are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and could you display by the date_of_transaction in ascending ? </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> date_of_transaction share_count </COL> <VAL> 930 8040 </VAL> </D>",mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort x asc bin x by year,mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count > 100 or amount_of_transaction > 1000 sort x asc bin x by year
692,901@y_name@ASC,culture_company,"Show all director names who have a movie in the year 1999 or 2000 , and count them by a bar chart , and could you sort Y in ascending order ?","<N> Show all director names who have a movie in the year 1999 or 2000 , and count them by a bar chart , and could you sort Y in ascending order ? </N> <C> mark [T] data movie encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> movie <COL> year director movie_id </COL> <VAL> </VAL> </D>",mark bar data movie encoding x director y aggregate count director transform filter year = 1999 or year = 2000 group x sort y asc,mark bar data movie encoding x year y aggregate count year transform filter movie = movie = movie = movie y aggregate count year between 3000 and 10 group x sort y asc
696,2917@y_name@ASC,swimming,"Give me the comparison about meter_100 over the meter_300 , and list meter_100 in asc order .","<N> Give me the comparison about meter_100 over the meter_300 , and list meter_100 in asc order . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> meter_100 meter_300 meter_400 meter_600 meter_500 meter_700 meter_200 id time name </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none meter_100 transform sort y asc,mark bar data swimmer encoding x name y aggregate none meter_100 transform sort y asc
700,2916,swimming,Give me the comparison about ID over the meter_300 .,<N> Give me the comparison about ID over the meter_300 . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> id meter_300 meter_100 meter_200 meter_400 meter_500 meter_600 meter_700 name time </COL> <VAL> </VAL> </D>,mark bar data swimmer encoding x meter_300 y aggregate none id,mark bar data swimmer encoding x name y aggregate none id
704,627,college_2,What are the names and average salaries for departments with average salary higher than 42000 . Plot them as bar chart .,<N> What are the names and average salaries for departments with average salary higher than 42000 . Plot them as bar chart . </N> <C> mark [T] data instructor encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> instructor <COL> salary name id </COL> <VAL> Kean Dale </VAL> </D>,mark bar data instructor encoding x dept_name y aggregate mean salary transform group x,"mark bar data instructor encoding x dept_name y aggregate mean salary transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 group x"
708,3269@y_name@ASC,world_1,"For each continent where the average life expectancy is shorter than 72 , draw a bar chart to show their average life expectancy , and list y-axis in ascending order .","<N> For each continent where the average life expectancy is shorter than 72 , draw a bar chart to show their average life expectancy , and list y-axis in ascending order . </N> <C> mark [T] data country encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> country <COL> continent lifeexpectancy name localname </COL> <VAL> Niue Sverige Ghana Misr Iran Oman Chad Iraq Lao </VAL> </D>",mark bar data country encoding x continent y aggregate mean lifeexpectancy transform group x sort y asc,mark bar data country encoding x governmentform y aggregate mean lifeexpectancy transform group continent
710,2917,swimming,"Find meter_300 and meter_100 , and visualize them by a bar chart .","<N> Find meter_300 and meter_100 , and visualize them by a bar chart . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> meter_300 meter_100 meter_600 meter_500 meter_400 meter_700 meter_200 id </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none meter_100,mark bar data swimmer encoding x meter_600 y aggregate none meter_100
720,1148,device,"A pie chart about what are the different software platforms for devices , and how many devices have each ?","<N> A pie chart about what are the different software platforms for devices , and how many devices have each ? </N> <C> mark [T] data device encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> device <COL> device software_platform </COL> <VAL> </VAL> </D>",mark arc data device encoding x software_platform y aggregate count software_platform transform group x,mark bar data device encoding x software_platform y aggregate count software_platform transform group x
726,2917@x_name@ASC,swimming,"Visualize a bar chart about the distribution of meter_300 and meter_100 , and could you list from low to high by the X-axis ?","<N> Visualize a bar chart about the distribution of meter_300 and meter_100 , and could you list from low to high by the X-axis ? </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> meter_100 meter_300 meter_400 meter_700 meter_200 meter_600 meter_500 id time </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none meter_100 transform sort x asc,mark bar data swimmer encoding x name y aggregate none meter_100 transform sort x asc
740,2066@y_name@DESC,loan_1,"Find the name and account balance of the customer whose name includes the letter ‘a’ Visualize them using a bar chart , show y-axis in descending order .","<N> Find the name and account balance of the customer whose name includes the letter ‘a’ Visualize them using a bar chart , show y-axis in descending order . </N> <C> mark [T] data customer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> customer <COL> cust_name </COL> <VAL> Mary </VAL> </D>",mark bar data customer encoding x cust_name y aggregate none acc_bal transform filter cust_name like '%a%' sort y desc,mark bar data customer encoding x acc_type y aggregate count acc_type transform filter credit_score < 50 group x sort y desc
760,2916@y_name@DESC,swimming,"Draw a bar chart about the distribution of meter_300 and ID , and order y axis in descending order .","<N> Draw a bar chart about the distribution of meter_300 and ID , and order y axis in descending order . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> id meter_300 meter_100 meter_200 meter_400 meter_500 meter_600 meter_700 time </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none id transform sort y desc,mark bar data swimmer encoding x meter_600 y aggregate none id transform sort y desc
766,80@x_name@DESC,apartment_rentals,"What are the number of dates of birth of all the guests whose gender is ""Male"" ? , show by the x axis in desc .","<N> What are the number of dates of birth of all the guests whose gender is ""Male"" ? , show by the x axis in desc . </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code guest_first_name guest_last_name </COL> <VAL> Male Gabe Toy </VAL> </D>","mark line data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" sort x desc bin x by year",mark bar data guests encoding x gender_code y aggregate count gender_code transform filter gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code sort y desc bin x by year
776,80,apartment_rentals,"Return the number of the date of birth for all the guests with gender code ""Male"" .","<N> Return the number of the date of birth for all the guests with gender code ""Male"" . </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code date_of_birth guest_last_name guest_first_name </COL> <VAL> Bode Male Keith Gabe Mante </VAL> </D>","mark line data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" bin x by year",mark bar data guests encoding x gender_code y aggregate count gender_code transform group x
784,3269@x_name@ASC,world_1,"Return a bar chart showing average life expectancy of each continent where the average life expectancy is shorter than 72 , show by the names in asc .","<N> Return a bar chart showing average life expectancy of each continent where the average life expectancy is shorter than 72 , show by the names in asc . </N> <C> mark [T] data country encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> country <COL> continent name lifeexpectancy localname </COL> <VAL> Niue Iran Ghana Chad Oman Misr Sverige </VAL> </D>",mark bar data country encoding x continent y aggregate mean lifeexpectancy transform group x sort x asc,mark bar data country encoding x governmentform y aggregate mean lifeexpectancy transform group continent
786,3269@x_name@DESC,world_1,"For each continent where the average life expectancy is shorter than 72 , draw a bar chart to show their average life expectancy , and display by the Continent from high to low .","<N> For each continent where the average life expectancy is shorter than 72 , draw a bar chart to show their average life expectancy , and display by the Continent from high to low . </N> <C> mark [T] data country encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> country <COL> continent lifeexpectancy name localname </COL> <VAL> Niue Sverige Ghana Misr Iran Oman Chad Iraq Lao </VAL> </D>",mark bar data country encoding x continent y aggregate mean lifeexpectancy transform group x sort x desc,mark bar data country encoding x governmentform y aggregate mean lifeexpectancy transform group continent
788,540,college_1,What is the relationship between lowest and highest student GPA for every department ? Give me a scatter chart grouping by department code .,<N> What is the relationship between lowest and highest student GPA for every department ? Give me a scatter chart grouping by department code . </N> <C> mark [T] data student encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> student <COL> stu_class </COL> <VAL> Fr Sr Jr </VAL> </D>,mark point data student encoding x max(stu_gpa) y aggregate min stu_gpa transform group dept_code,mark point data student encoding x max(stu_gpa) y aggregate min stu_gpa transform group x
826,901@y_name@DESC,culture_company,"Which directors had a movie in either 1999 or 2000 , and count them by a bar chart , show by the Y in desc .","<N> Which directors had a movie in either 1999 or 2000 , and count them by a bar chart , show by the Y in desc . </N> <C> mark [T] data movie encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> movie <COL> director movie_id year </COL> <VAL> </VAL> </D>",mark bar data movie encoding x director y aggregate count director transform filter year = 1999 or year = 2000 group x sort y desc,"mark bar data movie encoding x year y aggregate count year transform filter order_status_code = ""cancelled"" sort y desc"
828,2833,station_weather,"Give me the times and numbers of all trains that go to Chennai , ordered by time with a bar chart .","<N> Give me the times and numbers of all trains that go to Chennai , ordered by time with a bar chart . </N> <C> mark [T] data train encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> train <COL> time id name origin </COL> <VAL> Chennai </VAL> </D>",mark bar data train encoding x time y aggregate none train_number transform filter destination = 'chennai' sort x,mark bar data train encoding x time y aggregate none train_number transform filter destination = 'chennai'
840,627@y_name@ASC,college_2,"Give me a histogram for what are the names and average salaries for departments with average salary higher than 42000 ? , and list in ascending by the y axis .","<N> Give me a histogram for what are the names and average salaries for departments with average salary higher than 42000 ? , and list in ascending by the y axis . </N> <C> mark [T] data instructor encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> instructor <COL> salary id name </COL> <VAL> Yin Kean Dale </VAL> </D>",mark bar data instructor encoding x dept_name y aggregate mean salary transform group x sort y asc,"mark bar data instructor encoding x dept_name y aggregate mean salary transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y asc bin x by weekday"
842,627@y_name@DESC,college_2,"What are the names and average salaries for departments with average salary higher than 42000 Plot them as bar chart , display y axis in descending order .","<N> What are the names and average salaries for departments with average salary higher than 42000 Plot them as bar chart , display y axis in descending order . </N> <C> mark [T] data instructor encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> instructor <COL> salary id name </COL> <VAL> Yin Kean Dale </VAL> </D>",mark bar data instructor encoding x dept_name y aggregate mean salary transform group x sort y desc,"mark bar data instructor encoding x dept_name y aggregate mean salary transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y desc bin x by weekday"
860,2160,machine_repair,What are the number of the names of the technicians by ascending order of age ?,<N> What are the number of the names of the technicians by ascending order of age ? </N> <C> mark [T] data technician encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> technician <COL> age name </COL> <VAL> </VAL> </D>,mark bar data technician encoding x name y aggregate count name transform group x sort age asc,mark bar data technician encoding x team y aggregate count name transform group x sort y asc
868,80@x_name@DESC,apartment_rentals,"Return the date of birth for all the guests with gender code ""Male"" , and count them by a line chart , and display from high to low by the X .","<N> Return the date of birth for all the guests with gender code ""Male"" , and count them by a line chart , and display from high to low by the X . </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code date_of_birth guest_last_name guest_first_name </COL> <VAL> Bode Male Keith Gabe Toy Mante </VAL> </D>","mark line data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" sort x desc bin x by year",mark line data guests encoding x gender_code y aggregate count gender_code transform group x sort x desc
870,97@x_name@DESC,apartment_rentals,"Show me a bar chart for what are the apartment number and the room count of each apartment ? , list x-axis from high to low order .","<N> Show me a bar chart for what are the apartment number and the room count of each apartment ? , list x-axis from high to low order . </N> <C> mark [T] data apartments encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> apartments <COL> room_count apt_type_code </COL> <VAL> Flat </VAL> </D>",mark bar data apartments encoding x apt_number y aggregate none room_count transform sort x desc,mark bar data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x sort x desc
872,2317@x_name@DESC,match_season,"What are the draft pick numbers and draft classes for players who play the Defender position Show bar chart , and could you order x-axis in descending order ?","<N> What are the draft pick numbers and draft classes for players who play the Defender position Show bar chart , and could you order x-axis in descending order ? </N> <C> mark [T] data match_season encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> match_season <COL> position player </COL> <VAL> Defender </VAL> </D>","mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort x desc",mark bar data match_season encoding x position y aggregate count position transform filter points < 30 group x sort x desc
888,3062@x_name@ASC,tvshow,"What are the pixel aspect ratio and country of origin for all TV channels that do not use English ? Show the comparison of the total number of pixel aspect ratio in a bar chart , order names in asc order .","<N> What are the pixel aspect ratio and country of origin for all TV channels that do not use English ? Show the comparison of the total number of pixel aspect ratio in a bar chart , order names in asc order . </N> <C> mark [T] data tv_channel encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> tv_channel <COL> country id language hight_definition_tv </COL> <VAL> English no </VAL> </D>",mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x sort x asc,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x sort y asc
892,809@x_name@ASC,cre_Docs_and_Epenses,"Show the number of documents for different document name in a bar chart , order bar in asc order .","<N> Show the number of documents for different document name in a bar chart , order bar in asc order . </N> <C> mark [T] data documents encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> documents <COL> document_name </COL> <VAL> </VAL> </D>",mark bar data documents encoding x document_name y aggregate count document_name transform group x sort x asc,mark bar data documents encoding x document_type_code y aggregate count document_name transform group x sort x asc
894,2317@y_name@DESC,match_season,"Show the draft pick numbers and draft classes of players whose positions are defenders in a bar chart , and list Y from high to low order .","<N> Show the draft pick numbers and draft classes of players whose positions are defenders in a bar chart , and list Y from high to low order . </N> <C> mark [T] data match_season encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> match_season <COL> player position </COL> <VAL> Defender </VAL> </D>","mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort y desc",mark bar data match_season encoding x position y aggregate count position transform filter points < 30 group x sort y desc
908,2927,swimming,"Find Time and meter_100 , and visualize them by a bar chart .","<N> Find Time and meter_100 , and visualize them by a bar chart . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> meter_100 time meter_200 meter_300 meter_400 meter_500 meter_600 meter_700 id name </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x time y aggregate none meter_100,mark bar data swimmer encoding x meter_400 y aggregate none meter_100
924,2681@y_name@ASC,riding_club,"Show different occupations along with the number of players in each occupation Show bar chart , could you list Y-axis in ascending order please ?","<N> Show different occupations along with the number of players in each occupation Show bar chart , could you list Y-axis in ascending order please ? </N> <C> mark [T] data player encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> player <COL> occupation rank </COL> <VAL> 4th 1st </VAL> </D>",mark bar data player encoding x occupation y aggregate count occupation transform group x sort y asc,mark bar data player encoding x residence y aggregate count occupation transform group x sort y asc
930,2681@x_name@DESC,riding_club,"Bar chart x axis occupation y axis the total number , and I want to rank in desc by the x axis .","<N> Bar chart x axis occupation y axis the total number , and I want to rank in desc by the x axis . </N> <C> mark [T] data player encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> player <COL> occupation rank </COL> <VAL> 2nd 3rd 4th </VAL> </D>",mark bar data player encoding x occupation y aggregate count occupation transform group x sort x desc,mark bar data player encoding x residence y aggregate count occupation transform group x sort x desc
932,97@x_name@DESC,apartment_rentals,"Return the apartment number and the number of rooms for each apartment , sort by the bars in desc .","<N> Return the apartment number and the number of rooms for each apartment , sort by the bars in desc . </N> <C> mark [T] data apartments encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> apartments <COL> </COL> <VAL> </VAL> </D>",mark bar data apartments encoding x apt_number y aggregate none room_count transform sort x desc,mark bar data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x sort x desc
936,586,college_1,What is the total credit does each department offer .,<N> What is the total credit does each department offer . </N> <C> mark [T] data course encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> course <COL> </COL> <VAL> </VAL> </D>,mark bar data course encoding x dept_code y aggregate sum crs_credit transform group x,mark arc data course encoding x dept_code y aggregate sum crs_credit transform group x
940,2494@x_name@ASC,orchestra,"Display a bar chart for how many orchestras does each record company manage ? , and could you show in ascending by the bar ?","<N> Display a bar chart for how many orchestras does each record company manage ? , and could you show in ascending by the bar ? </N> <C> mark [T] data orchestra encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> orchestra <COL> orchestra record_company </COL> <VAL> </VAL> </D>",mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort x asc,mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort year_of_founded asc
960,2998@y_name@DESC,tracking_share_transactions,"A bar chart for what are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and sort by the Y from high to low .","<N> A bar chart for what are the number of the dates of transactions with at least 100 share count or amount bigger than 100 ? , and sort by the Y from high to low . </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> share_count </COL> <VAL> 930 8040 </VAL> </D>",mark bar data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort y desc bin x by weekday,mark bar data transactions encoding x date_of_transaction y aggregate count share_count transform filter share_count > 100 or amount_of_transaction > 1000 sort y desc bin x by weekday
964,2317@y_name@DESC,match_season,"what are the draft pick numbers and draft classes for players who play the Defender position ? , rank in descending by the total number please .","<N> what are the draft pick numbers and draft classes for players who play the Defender position ? , rank in descending by the total number please . </N> <C> mark [T] data match_season encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> match_season <COL> position player </COL> <VAL> Defender </VAL> </D>","mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort y desc",mark bar data match_season encoding x position y aggregate count position transform filter points < 30 group x sort y desc
974,79@y_name@DESC,apartment_rentals,"Return the number of the date of birth for all the guests with gender code ""Male"" , could you rank in desc by the Y ?","<N> Return the number of the date of birth for all the guests with gender code ""Male"" , could you rank in desc by the Y ? </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code date_of_birth guest_first_name guest_last_name </COL> <VAL> Lou Bode Male Keith Gabe Toy Mante </VAL> </D>","mark bar data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" sort y desc bin x by weekday",mark bar data guests encoding x gender_code y aggregate count gender_code transform group x sort y desc
